Province,District,Municipality
Madhesh Pradesh,Parsa,Jagarnathpur Rural Municipality
Madhesh Pradesh,Parsa,Jirabhawani Rural Municipality
Madhesh Pradesh,Parsa,Thori Rural Municipality
Madhesh Pradesh,Rautahat,Ishanath Municipality
Madhesh Pradesh,Rautahat,Gaur Municipality
Madhesh Pradesh,Rautahat,Rajdevi Municipality
Madhesh Pradesh,Rautahat,Durga Bhagawati Rural Municipality
Madhesh Pradesh,Rautahat,Yamunamai Rural Municipality
Madhesh Pradesh,Rautahat,Rajpur Municipality
Madhesh Pradesh,Rautahat,Paroha Municipality
Madhesh Pradesh,Rautahat,Boudhimai Municipality
Madhesh Pradesh,Rautahat,Maulapur Municipality
Madhesh Pradesh,Rautahat,Dewahi Gonahi Municipality
Madhesh Pradesh,Rautahat,Garuda Municipality
Madhesh Pradesh,Rautahat,Madhav Narayan Municipality
Madhesh Pradesh,Rautahat,Gadhimai Municipality
Madhesh Pradesh,Rautahat,Brindaban Municipality
Madhesh Pradesh,Rautahat,Katahariya Municipality
Madhesh Pradesh,Rautahat,Phatuwa Bijayapur Municipality
Madhesh Pradesh,Rautahat,Gujara Municipality
Madhesh Pradesh,Rautahat,Chandrapur Municipality
Madhesh Pradesh,Saptari,Chhinnamasta Rural Municipality
Madhesh Pradesh,Saptari,Tilathi Koiladi Rural Municipality
Madhesh Pradesh,Saptari,Hanumannagar Kankalini Municipality
Madhesh Pradesh,Saptari,Tirahut Rural Municipality
Madhesh Pradesh,Saptari,Mahadewa Rural Municipality
Madhesh Pradesh,Saptari,Rajbiraj Municipality
Madhesh Pradesh,Saptari,Bishnupur Rural Municipality
Madhesh Pradesh,Saptari,Belhi Chapena Rural Municipality
Madhesh Pradesh,Saptari,Dakneshwori Municipality
Madhesh Pradesh,Saptari,BodeBarsain Municipality
Madhesh Pradesh,Saptari,Balan-Bihul Rural Municipality
Madhesh Pradesh,Saptari,Surunga Municipality
Madhesh Pradesh,Saptari,Khadak Municipality
Madhesh Pradesh,Saptari,Shambhunath Municipality
Madhesh Pradesh,Saptari,Rupani Rural Municipality
Madhesh Pradesh,Saptari,Agnisair Krishna Sabaran
Madhesh Pradesh,Saptari,Kanchanrup Municipality
Madhesh Pradesh,Saptari,Saptakoshi Municipality
Madhesh Pradesh,Sarlahi,Malangawa Municipality
Madhesh Pradesh,Sarlahi,Kaudena Rural Municipality
Madhesh Pradesh,Sarlahi,Bishnu Rural Municipality
Madhesh Pradesh,Sarlahi,Godaita Municipality
Madhesh Pradesh,Sarlahi,Balara Municipality
Madhesh Pradesh,Sarlahi,Ramnagar Rural Municipality
Madhesh Pradesh,Sarlahi,Dhanakaul Rural Municipality
Madhesh Pradesh,Sarlahi,Basbariya Rural Municipality
Madhesh Pradesh,Sarlahi,Chakraghatta Rural Municipality
Madhesh Pradesh,Sarlahi,Kabilashi Municipality
Madhesh Pradesh,Sarlahi,Chandranagar Rural Municipality
Madhesh Pradesh,Sarlahi,Brahmapuri Rural Municipality
Madhesh Pradesh,Sarlahi,Parsa Rural Municipality
